time;RiseOfVklads;Доходность ОФЗ по сроку до 1 года;Ключевая ставка;Ставка по вкладам в долларах до 1 года;StavkaVRub;Нефть марки Юралс, долл./барр;Индекс потребительских цен, ед.;М0, руб;М2, руб;Курс доллара к рублю, руб;Номинальная средняя з/п, руб
01.01.2011;-79049;5,2;7,8;2,9;4,5;96;106,2;5532900;19308;30;20669
01.02.2011;180475;5,1;8;3,1;4,4;104;107;5613700;19537;29;20680
01.03.2011;106845;5;8;3,1;4,2;114;107,7;5647000;19789;28;22673
01.04.2011;224890;4,6;8;2,6;4,1;123;108,1;5863400;20021;28;22519
01.05.2011;45856;4,8;8,3;2,6;4,1;114;108,6;5893400;20161;28;22779
01.06.2011;227020;4,9;8,3;2,6;4,2;114;108,9;6017200;20722;28;24137
01.07.2011;133756;4,8;8,3;2,6;4;116;108,9;6151200;20828;28;23598
01.08.2011;10165;5,2;8,3;2,6;4,1;110;108,6;6204500;21062;29;23051
01.09.2011;45398;5,9;8,3;2,5;4;111;108,6;6303700;21480;30;23468
01.10.2011;17145;6,4;8,3;2,9;4,5;109;109,1;6349700;21367;31;23602
01.11.2011;137814;6,3;8,3;3;5,5;111;109,6;6392900;21920;31;24296
01.12.2011;733416;6,5;8;3,1;5,7;108;110;7149600;24205;31;32809
01.01.2012;-168795;6,4;8;3,1;5,8;111;110,6;6669200;23349;32;23746
01.02.2012;169513;6,3;8;3;5,3;120;111;6730300;23543;30;24036
01.03.2012;112927;6,3;8;3;5,3;125;111,6;6716700;23748;29;25487
01.04.2012;267029;6,4;8;3,2;5,5;121;112;6905300;23924;29;25800
01.05.2012;80873;6,6;8;2,8;5,2;111;112,6;6902000;24036;31;26385
01.06.2012;274860;6,9;8;2,8;5,4;96;113,6;7082100;24461;33;27494
01.07.2012;13565;6,5;8;2,9;5,3;103;115;7077700;24306;33;26684
01.08.2012;112922;6,3;8;2,8;5,2;113;115,1;7088200;24284;32;25718
01.09.2012;64540;6,4;8,3;2,9;5,5;113;115,7;7107900;24438;32;25996
01.10.2012;74009;6,5;8,3;3;5,8;112;116,3;7091300;24445;31;26803
01.11.2012;252527;6,5;8,3;2,9;6;110;116,6;7157200;24741;31;27448
01.12.2012;807300;6,3;8,3;3,1;6,1;110;117,3;7959700;27165;31;36450
01.01.2013;-187311;6;8,3;2,6;6,1;113;118,4;7311700;26349;30;26840
01.02.2013;292234;5,7;8,3;3;6,2;116;119,1;7372400;26768;30;26620
01.03.2013;248637;5,8;8,3;3;6,1;109;119,5;7408100;27199;31;28693
01.04.2013;408961;5,7;8,3;2,9;6,1;103;120,1;7739100;27377;31;30026
01.05.2013;-301;5,8;8,3;2,5;5,7;103;120,9;7613900;27593;31;29723
01.06.2013;302548;6,2;8,3;2,6;5,6;103;121,4;7761300;28212;32;30986
01.07.2013;78270;6;8,3;2,6;5,4;108;122,4;7761800;28444;33;30229
01.08.2013;86971;6;8,3;2,5;5,3;111;122,6;7796500;28500;33;29226
